new entry "AHZ_DISGUISE_SELF_TIEFLING_MALE"
type "StatusData"
data "StatusType" "POLYMORPHED"
data "DisplayName" "hcbe71694g9436g4eebga502gc96a336d74d2;1"
data "Description" "haaa21742gad59g4e25g8687g2265bcce179c;1"
data "Icon" "Spell_Illusion_DisguiseSelf_Tiefling_Male"
data "StackId" "AHZ_DISGUISE_SELF"
data "Boosts" "UnlockSpell(AHZ_Shout_DisguiseSelf_Cancel)"
data "TemplateID" "cc71e73a-53eb-4f49-ab31-e80d5d5f1ef2"
data "Rules" "c7c3381e-b901-416e-a0c4-bc745e1ff54a"
data "StatusGroups" "SG_Polymorph;SG_Disguise;SG_RemoveOnRespec"
data "StatusEffect" "43248db1-c7e1-424d-935e-516d8071cf66"

